# Data generated by mergeData.py 
dexapi    mysql    neo4japi    neo4jc    neo4jt    orientapi    
10    27    0    1    0    0    
10    27    0    10    0    0    
10    27    0    10    1    0    
10    27    0    10    1    0    
10    27    1    10    1    0    
10    28    1    10    1    0    
10    28    1    10    1    0    
10    28    1    10    1    0    
107    28    1    11    1    0    
11    28    1    11    1    0    
11    28    1    11    1    0    
11    28    1    11    1    0    
11    28    1    11    1    0    
11    28    1    11    1    0    
11    28    1    11    1    0    
12    28    1    12    1    0    
12    28    1    12    1    0    
12    28    1    12    1    0    
12    28    1    13    1    0    
12    28    1    13    1    0    
13    28    1    14    1    0    
13    28    1    14    1    0    
13    28    1    14    1    0    
13    28    1    14    1    0    
13    28    1    14    10    0    
13    28    1    143    10    0    
13    28    1    15    11    0    
13    28    1    15    11    0    
13    28    1    15    12    0    
14    28    1    15    13    0    
14    28    1    16    13    0    
14    28    1    17    18    0    
14    28    1    17    19    0    
14    28    1    18    19    0    
14    28    1    18    2    0    
14    29    10    18    2    0    
14    29    12    20    2    0    
15    29    12    202    2    0    
15    29    12    21    2    0    
15    29    12    21    2    0    
15    29    12    23    2    0    
15    29    16    24    2    0    
16    29    16    24    2    0    
16    29    17    25    2    0    
16    29    2    27    2    0    
16    29    2    29    2    0    
17    29    2    29    2    0    
17    29    2    3    2    0    
18    29    2    3    2    0    
18    29    2    3    2    0    
18    29    2    32    2    0    
18    29    2    32    2    0    
18    29    2    4    2    0    
18    29    2    4    2    0    
19    29    2    4    2    0    
21    29    2    4    2    0    
21    29    2    4    2    0    
22    29    2    4    2    0    
23    29    2    4    23    0    
24    29    2    46    3    0    
26    29    2    5    3    0    
27    29    2    5    3    0    
27    29    2    5    3    0    
28    29    2    5    3    0    
28    29    20    5    3    0    
30    29    20    5    3    0    
30    29    27    55    3    0    
32    29    28    57    3    0    
32    29    3    6    3    0    
32    29    3    6    3    0    
33    29    3    6    3    0    
38    29    3    6    3    0    
39    29    3    6    3    0    
4    29    3    7    3    0    
46    29    3    7    3    0    
5    29    3    7    3    0    
6    29    3    7    3    0    
6    29    3    7    36    0    
6    30    3    7    4    0    
6    30    3    7    4    0    
61    30    38    7    4    0    
7    30    4    7    4    0    
7    30    4    7    4    0    
7    30    4    7    44    0    
7    30    4    8    48    0    
7    30    4    8    5    0    
7    30    4    8    5    0    
8    30    4    8    5    1    
8    30    4    8    5    10    
8    30    5    8    5    110    
8    31    5    8    51    12    
8    31    5    89    6    21    
8    31    5    9    7    27    
8    31    5    9    7    29    
8    31    5    9    7    3    
8    31    5    9    73    42    
9    32    53    9    8    55    
9    32    7    9    8    79    
9    33    8    9    8    8    
9    87    9    9    8    94    

