# Data generated by mergeData.py 
dexapi    mysql    neo4japi    neo4jc    neo4jt    orientapi    
0    0    0    0    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    1    0    0    
0    0    0    10    0    0    
0    0    0    117    0    0    
0    0    0    13    0    0    
0    0    0    15    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    2    0    0    
0    0    0    26    0    0    
0    0    0    3    0    0    
0    0    0    3    0    0    
0    0    0    3    0    0    
0    0    0    3    0    0    
0    0    0    3    0    0    
0    0    0    3    0    0    
0    0    0    3    0    0    
0    0    0    3    1    0    
0    0    0    3    1    0    
0    0    0    3    1    0    
0    0    0    3    1    0    
0    0    0    3    1    0    
0    0    0    3    1    0    
0    0    0    3    1    1    
0    0    0    3    1    1    
0    0    0    3    1    1    
1    1    0    4    1    1    
1    1    0    5    1    1    
1    1    0    5    1    1    
1    1    0    5    1    1    
1    1    0    5    1    1    
1    1    0    5    1    1    
1    1    0    6    1    1    
1    1    0    6    1    3    
1    1    0    6    1    4    
1    1    0    6    1    4    
1    1    1    6    2    5    
1    1    1    7    5    6    

