MySQL;Neo4j;DEX;OrientDB
477;498;40;23
464;79;12;15
455;42;8;7
457;55;9;9
448;38;8;7
455;41;8;8
478;147;28;13
469;143;28;12
447;12;3;2
472;349;38;13
455;39;4;6
452;84;9;11
483;560;116;19
527;1959;362;37
531;3428;933;35
443;27;5;5
477;402;82;13
490;398;69;18
443;12;3;3
457;63;12;7
519;1023;155;26
468;200;42;10
454;52;7;7
450;52;6;8
458;75;14;6
467;58;6;8
465;137;16;12
456;102;14;9
480;198;23;12
455;26;6;3
485;305;45;16
456;39;8;5
460;116;28;9
466;69;8;9
461;67;9;7
457;44;6;8
458;53;5;10
458;69;10;7
462;82;7;9
454;62;8;8
449;30;3;4
482;411;78;14
467;136;20;10
458;36;5;5
454;57;7;7
463;86;10;9
465;202;25;10
475;176;26;11
473;90;12;11
523;2148;509;29
449;40;6;7
458;35;5;5
447;33;6;5
453;38;4;8
483;733;185;15
448;34;5;6
442;36;6;6
452;31;5;6
508;592;115;18
465;69;10;8
473;212;33;11
479;356;67;16
462;101;18;8
451;50;5;7
454;39;7;5
456;55;7;7
462;106;12;12
456;65;8;7
481;222;34;11
470;208;36;11
479;244;43;12
459;87;14;8
525;140;18;11
471;154;22;12
453;31;6;4
452;36;4;6
458;74;9;9
457;49;7;8
459;67;10;8
450;54;8;8
522;1459;237;30
460;127;17;11
560;9397;2820;47
630;24922;10593;72
491;497;79;20
486;1037;225;20
478;362;75;13
472;167;21;14
435;13;3;2
455;44;5;6
464;87;10;10
444;36;4;7
483;280;45;14
484;326;60;12
465;65;6;11
450;47;7;5
455;37;5;5
456;23;3;4
475;239;33;15
440;18;3;4
