MySQL;Neo4j;DEX;OrientDB
1443;679;600;1420
1434;254;997;1925
1411;72;230;294
1429;114;604;2431
1557;555;2435;8724
1433;71;442;297
1428;88;561;745
1429;100;721;520
1439;51;557;112
1709;255;2000;1946
1551;355;2209;1553
1519;165;1396;577
1416;62;353;224
1455;90;923;264
1447;93;970;248
1427;72;643;324
1490;109;1497;319
1438;62;506;101
1432;60;513;171
1401;38;520;115
1429;72;843;138
1473;157;992;1607
1461;72;755;1631
1500;114;850;2050
1412;43;554;675
1445;67;482;356
1436;52;765;318
1482;228;1737;752
1449;83;1102;826
2047;144;1556;1352
1430;46;188;228
1439;118;1084;356
1423;74;685;312
1439;78;901;289
1439;51;356;94
1410;86;1042;237
1510;70;1037;264
1425;32;239;108
1420;29;267;182
1427;48;232;2304
1420;38;361;3703
1431;64;941;2090
1498;115;1523;1849
1436;62;830;659
1424;52;622;442
1421;51;916;692
1592;208;1442;906
1440;79;1105;457
1412;56;590;301
1400;60;674;409
1528;229;1891;1161
2381;198;2092;504
1460;78;1219;266
1420;54;816;250
1431;74;671;241
1457;110;1184;249
1442;77;1343;4894
1430;66;979;8749
1456;68;1050;1862
1396;51;546;411
1417;64;669;1121
1410;46;555;418
1542;47;545;716
1376;20;186;169
1519;118;1346;821
1412;48;403;499
1423;36;462;174
1397;52;613;425
1423;84;1012;880
1433;68;1053;242
1427;68;701;211
1485;157;1746;893
1407;62;246;115
1428;56;702;5854
1432;51;186;1861
1605;406;2942;5899
2687;104;690;300
1417;49;604;654
1391;51;935;178
1423;43;571;208
1478;126;1418;947
1602;65;615;240
1464;97;1014;800
1414;42;451;557
1650;135;1453;8879
1433;97;1084;2257
1405;79;971;1200
1454;83;897;678
1421;76;1066;503
1407;25;268;175
1397;67;805;902
1401;38;480;716
1472;135;1389;822
1403;67;1212;412
1408;60;690;412
1477;128;1547;476
1413;26;258;154
1541;273;2453;3604
1457;55;691;800
1433;42;587;5966
