MySQL;Neo4j;DEX
67298;127171;9813
62837;4697;220
63197;9501;343
62541;7224;156
63306;14462;359
62751;15117;484
63415;22481;671
63244;9002;204
66925;118982;7676
66552;47067;2465
63352;16474;532
62650;6413;140
64475;16334;343
65069;32168;1390
64147;23136;1296
64164;29345;983
63602;14524;296
63196;9018;189
63618;12122;405
63477;12731;359
61824;4884;109
63821;3979;126
62946;4166;125
63415;3652;109
63492;14665;265
66659;52464;3292
68110;176344;22309
61746;3417;126
64039;12855;312
63743;5711;281
66270;38689;1435
63025;7021;110
63602;3995;187
63790;9642;312
64273;6412;219
63228;8535;218
64211;17083;500
63008;10313;172
63134;5258;125
62808;10281;156
64210;11873;281
64460;10359;235
68500;182522;16988
65568;37238;1827
66005;25195;999
66441;26973;1217
63867;9689;219
68376;146844;13837
66409;52074;2622
66488;43931;2123
64320;17067;485
67192;181897;22557
68111;152335;9626
64368;9408;173
65303;15679;484
64149;11483;421
72852;1229409;283641
64752;19017;781
64228;16459;328
64632;7349;235
64835;10827;327
63665;7552;156
64742;11858;312
68594;217871;24930
67284;57627;3012
63009;10433;251
64320;21841;530
63977;7708;156
65725;39547;1576
62168;3293;110
63913;10577;203
63118;14712;390
63149;5617;125
63540;7177;187
65318;20219;376
62775;5570;156
64553;24368;1045
64367;16771;313
62682;5523;110
73181;1068993;212612
64351;3012;126
67142;74959;5070
70435;351220;56068
62994;6304;157
64070;6397;171
63745;6865;187
66597;17255;796
64476;2356;126
68579;234205;32838
63742;13963;406
70232;396491;76348
68937;222083;30608
62463;4759;142
70435;418925;66596
62947;6116;157
64789;14837;359
70779;389782;67735
65660;22901;1093
64524;11436;282
67324;114895;10234
