mysql;neo4j_api;dex_api
20050;8929;154
19655;2603;124
20074;30496;225
20619;35077;618
19829;1146;35
20949;28239;1993
20263;2317;83
20071;3044;77
20414;4539;168
20368;2186;60
20724;3695;112
19937;1092;31
21075;33519;1624
20769;10352;388
22457;79058;4362
20652;13941;481
20224;1337;40
21070;6951;269
20440;2230;59
22317;45415;2600
21826;1857;57
20491;1790;53
21189;2935;92
20665;5038;148
21985;4811;137
18917;1064;39
19203;3809;101
18745;2434;65
18747;4268;101
18830;2241;61
18521;5247;190
18313;1663;46
19053;1897;61
18564;2723;78
19120;8028;446
19511;3872;110
18870;1750;58
20172;56988;2300
19484;20352;950
18621;2822;133
18431;1731;48
20930;4492;163
20260;6986;211
19734;27642;1022
18659;1336;46
18749;4018;129
19451;10251;336
19872;1845;53
19526;3656;140
20162;3137;73
18803;8888;260
19426;19257;706
19791;32490;1480
21958;9454;317
20842;8706;266
19622;2119;62
19141;2613;104
18774;4901;157
21154;127557;5191
18854;1852;50
19596;14363;607
18913;1937;54
19237;1454;52
19855;4016;132
20773;8084;338
21592;73495;3662
20935;64631;2768
19658;3471;111
20582;13905;653
18673;2137;58
21315;222803;11714
18936;1697;58
19622;8924;273
18740;1920;53
19056;2118;79
19553;5899;173
20495;88624;6443
18811;4310;129
19481;13721;478
18692;2076;66
19156;2621;75
18940;3238;136
19403;5331;165
19732;43486;2787
19584;13387;652
18620;1166;40
18687;1571;45
19478;11789;442
18859;1544;41
19057;2844;72
19521;18453;724
19155;6761;194
18654;748;25
19511;29629;1017
18659;2498;73
19006;3416;90
18894;5032;138
19327;9959;284
19016;3143;82
19077;1237;42
