MySQL;Neo4j;DEX;OrientDB
34;106;39;6
30;11;1;2
30;8;1;3
31;133;24;9
32;34;18;4
29;4;1;1
29;5;2;2
30;10;3;3
32;5;2;2
30;11;4;3
34;306;202;11
33;55;25;5
31;36;23;3
32;32;20;1
31;7;4;2
30;7;4;2
31;10;2;1
31;15;5;3
35;15;4;4
42;508;420;12
33;19;11;2
29;3;1;1
30;5;2;2
31;5;2;1
30;14;10;2
29;4;1;1
30;8;5;1
29;2;2;1
28;3;2;1
31;6;3;2
29;4;1;1
29;12;6;2
29;5;2;1
30;23;18;2
28;4;2;2
29;4;3;1
29;7;9;1
31;6;2;2
35;102;81;6
32;67;52;4
30;9;7;2
31;26;19;3
29;4;2;1
29;4;2;1
29;2;2;1
36;6;4;1
29;3;1;1
28;8;5;1
37;114;61;4
31;9;4;2
31;18;5;3
29;21;19;1
29;15;9;2
31;23;14;3
28;4;3;1
30;4;2;1
30;5;3;1
34;87;60;4
31;7;4;2
33;24;11;3
30;7;4;2
29;4;3;1
29;5;2;2
28;3;2;1
33;32;19;3
30;14;10;2
31;6;3;2
33;133;50;5
35;3;2;1
32;29;24;3
29;5;9;1
31;22;17;3
33;13;5;4
31;6;3;2
29;9;10;1
30;8;5;2
29;6;4;2
33;71;47;5
30;7;6;1
29;3;2;1
30;7;8;1
35;137;76;5
29;5;3;2
31;23;16;3
32;76;50;3
32;22;16;3
31;36;18;2
31;9;6;1
30;7;5;1
30;18;9;2
33;46;31;3
29;2;3;2
29;3;2;0
32;8;4;2
31;10;5;2
32;29;16;3
30;4;3;1
30;3;2;1
35;103;78;4
30;6;3;2
