mysql;neo4j_api;dex_api
18164;16765;23928
17985;3103;8552
18380;31901;17480
18811;10754;48903
17911;1451;6954
18771;19374;25536
18224;1144;16103
18082;6297;21572
18313;16721;21557
18194;719;24985
18367;4991;19275
18160;8137;2899
19102;24764;42070
18369;8941;33669
19129;6052;45449
18423;6791;34312
18035;923;12281
18480;2021;20317
18031;1229;10121
19204;9241;33007
18141;658;12668
18520;595;16908
18250;1047;23071
18333;1685;30033
18305;1910;21778
17992;713;8051
18253;1114;26096
18280;6960;19948
18183;1318;28057
18335;979;29164
18285;1983;17395
17951;916;14376
18554;827;13063
18197;830;34969
18632;1904;14858
18175;1142;21388
18043;991;19601
19670;3054;49900
18975;3084;27753
18366;1574;5101
18113;3665;18544
18474;1182;12904
18488;11156;35422
19369;29850;57891
18246;3528;8190
18264;7942;17252
18593;5734;29840
18297;1724;23462
18327;1659;10663
18149;958;14883
18612;2568;12497
19196;3971;35970
19086;4354;37866
18722;1429;24764
18569;1798;34146
18282;603;23060
18501;1390;8995
18577;1047;31986
20258;4710;73113
18523;3315;22095
19167;2573;31760
18495;1130;5807
18541;3841;8756
18732;3314;25982
18844;10155;20313
20095;38719;56782
19527;14235;50870
18630;1849;20213
19420;2971;20739
18321;897;20235
20795;10474;79412
18556;1162;5968
18842;1838;45745
18401;1097;17799
18936;731;13425
18917;1412;18583
19797;23451;25941
18519;11157;22178
19172;13873;40204
18583;846;14897
20581;6671;18089
20006;5049;8090
21304;4130;28351
22580;7605;17870
21064;2938;20272
19475;1361;4716
19457;1049;10119
20375;4156;26066
19522;882;13499
19822;680;23506
20271;2981;17839
20066;1633;30197
19272;473;3762
21031;2667;47853
20753;627;26176
19934;3670;15745
19564;1221;32030
20110;1243;39115
19520;846;18635
19559;732;6320
