MySQL;Neo4j;DEX
5244;2261;135
5616;11485;951
5190;1770;92
5289;2049;115
5708;15997;950
5357;4212;204
5264;1593;67
5303;379;21
5359;1899;84
5543;4386;172
5241;1044;38
5489;6008;375
5700;16443;977
5742;18881;1480
5219;1690;71
5281;1097;55
5236;1009;46
5322;1067;48
5353;1471;57
5158;1114;46
5143;1229;59
5425;3018;204
5454;2698;118
5278;744;24
5107;594;20
5372;810;26
5340;1436;61
5495;5445;424
5277;2103;90
5641;19238;1452
5226;1606;94
5093;888;37
5474;7327;297
5533;8769;425
5257;2710;103
5316;2155;80
5660;22119;977
5394;596;27
5397;1148;55
5927;71716;7000
5410;2163;119
5156;566;25
5226;451;21
5249;639;27
5242;1485;67
5257;467;19
5229;2038;87
5294;1237;51
5228;525;22
5304;811;27
5250;949;37
5814;58153;3634
5362;1288;50
5105;433;22
5805;26847;1486
5435;2242;111
5161;249;11
5199;395;19
5406;4806;255
5158;410;18
5175;614;25
5227;1192;44
5110;289;20
5573;26039;1693
5502;8601;428
5210;610;21
5204;1200;62
5677;15773;703
5535;7318;505
5077;481;20
5374;1693;71
5289;1786;65
5439;6420;363
5460;6104;294
5188;789;31
5383;3949;207
5394;2896;177
5146;446;32
5539;8765;672
5390;761;35
5329;452;17
5400;4246;206
5605;11928;504
5768;20090;1074
5297;950;34
5389;6600;380
5340;5356;622
5179;900;33
5236;1506;74
5248;344;21
5268;1261;64
5276;1246;76
5220;922;51
5037;285;15
5178;1418;104
5004;154;20
5189;590;36
5184;1356;78
5313;934;53
5098;635;53
